number,value,datetime_start,datetime_complete,duration,params_freeze,params_hidden_dim,params_label_smoothing,params_lr,params_lstm_dropout,params_num_layers,params_spatial_dropout,params_weight_decay,system_attrs_fixed_params,state
0,55.573658599924734,2026-03-14 15:44:56.529925,2026-03-14 15:49:55.361811,0 days 00:04:58.831886,True,128,0.1,0.001,0.25,2,0.2,2.3e-05,"{'hidden_dim': 128, 'num_layers': 2, 'spatial_dropout': 0.2, 'lstm_dropout': 0.25, 'lr': 0.001, 'weight_decay': 2.3e-05, 'freeze': True, 'label_smoothing': 0.1}",COMPLETE
1,52.21035580172428,2026-03-14 15:49:55.366346,2026-03-14 15:52:13.892699,0 days 00:02:18.526353,True,64,0.060713283855237714,0.0006051116031042218,0.4522046285936152,2,0.20452737504869478,1.6937083361970258e-05,,COMPLETE
2,50.1517227668972,2026-03-14 15:52:13.896204,2026-03-14 15:54:54.783212,0 days 00:02:40.887008,True,128,0.056738787409321235,0.0007341141356026934,0.23204626832577252,1,0.16075787562400418,0.0004622077097852302,,COMPLETE
3,44.605423166078374,2026-03-14 15:54:54.787213,2026-03-14 16:09:13.566993,0 days 00:14:18.779780,True,256,0.11612135540889452,0.0008596116259819575,0.24643320174779776,2,0.22502232720553353,0.0008682533154992015,,COMPLETE
4,42.82549832555286,2026-03-14 16:09:13.570990,2026-03-14 16:16:52.829716,0 days 00:07:39.258726,False,256,0.10904947774433014,0.00019046642305633183,0.3337270862508047,1,0.35917733955247033,0.0024221975115045298,,COMPLETE
5,1.0295221416062046,2026-03-14 16:16:52.834739,2026-03-14 16:21:51.769958,0 days 00:04:58.935219,False,256,0.03148130743899571,0.00511604212080936,0.4382679815996441,2,0.10523084484560957,0.004693092271610248,,COMPLETE
6,29.728079536984854,2026-03-14 16:21:51.775548,2026-03-14 16:27:50.688007,0 days 00:05:58.912459,False,256,0.19799221159125702,0.003915235744327629,0.12933022054560117,2,0.12519570762247914,3.7941605929869195e-05,,COMPLETE
7,23.118714536056643,2026-03-14 16:27:50.691541,2026-03-14 16:30:40.649398,0 days 00:02:49.957857,True,64,0.16406661947373155,0.00021863185235965394,0.1827644358864475,1,0.3458397536311377,0.0006921355564362897,,COMPLETE
8,18.012098871215244,2026-03-14 16:30:40.653952,2026-03-14 16:33:15.839816,0 days 00:02:35.185864,True,64,0.19266532101614933,0.00015589663932035397,0.4879650869789107,1,0.1537061524433836,1.8111540727706182e-05,,COMPLETE
9,49.89717151012441,2026-03-14 16:33:15.843406,2026-03-14 16:36:31.999668,0 days 00:03:16.156262,False,256,0.0729091515378556,0.007173472999994182,0.13198047761908882,1,0.16168370814957123,1.0552181780066367e-05,,COMPLETE
10,55.38360525228728,2026-03-14 16:36:32.004670,2026-03-14 16:39:27.038319,0 days 00:02:55.033649,True,128,0.0029471579316540097,0.002325746545314527,0.3661734143809498,2,0.2900726962245074,8.981940420365498e-05,,COMPLETE
11,54.42158988448364,2026-03-14 16:39:27.042822,2026-03-14 16:41:43.040669,0 days 00:02:15.997847,True,128,0.018471578996745924,0.0019936724136712936,0.3451998832235257,2,0.2920965081073111,9.600977805371532e-05,,COMPLETE
12,47.776797909622296,2026-03-14 16:41:43.043669,2026-03-14 16:45:35.575935,0 days 00:03:52.532266,True,128,0.14067907407177238,0.0018419372004450246,0.38153549341475645,2,0.28116359805100116,0.00012519978121181867,,COMPLETE
13,57.00897137026939,2026-03-14 16:45:35.579442,2026-03-14 16:50:26.301112,0 days 00:04:50.721670,True,128,0.005575858960362418,0.0020204623717309253,0.27250710357694474,2,0.27263973845165085,9.223502390616694e-05,,COMPLETE
14,53.02099413050554,2026-03-14 16:50:26.304111,2026-03-14 16:55:16.977609,0 days 00:04:50.673498,True,128,0.08912144209575018,0.00035734193105510406,0.263078301872845,2,0.24323557162310752,3.559018421628352e-05,,COMPLETE
15,52.42075201038296,2026-03-14 16:55:16.981165,2026-03-14 16:59:10.088319,0 days 00:03:53.107154,True,128,0.03861171006464686,0.0011335437651841026,0.2805598400943939,2,0.1962140810557404,0.0002137393521928989,,COMPLETE
16,47.40638620023795,2026-03-14 16:59:10.091831,2026-03-14 17:04:01.756035,0 days 00:04:51.664204,True,128,0.13275173090846498,0.0004547703511108088,0.19305978679585467,2,0.32118767436731327,4.613682093083557e-05,,COMPLETE
17,53.754547855949006,2026-03-14 17:04:01.759708,2026-03-14 17:08:20.285687,0 days 00:04:18.525979,True,128,0.07853579397704975,0.003167358190718742,0.31596932964320634,2,0.2663423958834899,0.00018900912072604872,,COMPLETE
18,37.000617438111504,2026-03-14 17:08:20.289206,2026-03-14 17:10:12.964216,0 days 00:01:52.675010,False,128,0.15895983074668127,0.0013063074044224153,0.17951233151475776,2,0.3997233529600843,5.1711395884476846e-05,,COMPLETE
19,55.66226731741608,2026-03-14 17:10:12.968227,2026-03-14 17:13:48.171563,0 days 00:03:35.203336,True,128,0.04253533384954063,0.001417616418656195,0.2211014619003484,2,0.20251019901740708,2.0890318986030442e-05,,COMPLETE
20,56.92132186081428,2026-03-14 17:13:48.176802,2026-03-14 17:16:38.354761,0 days 00:02:50.177959,True,64,0.0013267189392402916,0.007342485955490451,0.2149942831452446,1,0.25086936655399145,1.0785412155327097e-05,,COMPLETE
21,56.459208661619286,2026-03-14 17:16:38.358759,2026-03-14 17:18:49.424488,0 days 00:02:11.065729,True,64,0.00481601529256476,0.0061850165583339665,0.21263445298639955,1,0.23674696504013806,1.0047181870447146e-05,,COMPLETE
22,56.579779429746004,2026-03-14 17:18:49.429505,2026-03-14 17:21:01.000036,0 days 00:02:11.570531,True,64,0.0033857221603021377,0.00963297800893685,0.2944081896150762,1,0.251681613571791,1.3836591648123625e-05,,COMPLETE
23,54.33830951742138,2026-03-14 17:21:01.003561,2026-03-14 17:22:46.492438,0 days 00:01:45.488877,True,64,0.021515332764356014,0.008584060878055693,0.3118073811025363,1,0.31431121266100587,6.686165636962515e-05,,COMPLETE
24,54.8177533199644,2026-03-14 17:22:46.496964,2026-03-14 17:24:44.215012,0 days 00:01:57.718048,True,64,0.01630830782410151,0.009848264389094676,0.27153005274741154,1,0.26259722811305414,1.3219604987138896e-05,,COMPLETE
25,56.59762463736321,2026-03-14 17:24:44.218523,2026-03-14 17:28:00.726948,0 days 00:03:16.508425,True,64,0.005506035644426884,0.004145087902573668,0.29912802104199576,1,0.3126034889673714,2.905627033603612e-05,,COMPLETE
26,53.757491445268656,2026-03-14 17:28:00.730947,2026-03-14 17:29:41.399252,0 days 00:01:40.668305,False,64,0.05024977188390209,0.0033663246856276757,0.3966131084273399,1,0.30978386149140097,2.9705344712120486e-05,,COMPLETE
27,53.078133808512604,2026-03-14 17:29:41.402792,2026-03-14 17:31:25.989082,0 days 00:01:44.586290,True,64,0.03019866833386622,0.004576620795487642,0.17301876925217977,1,0.348254968949588,0.0001629862615966572,,COMPLETE
28,55.001487076700364,2026-03-14 17:31:25.994662,2026-03-14 17:33:36.164542,0 days 00:02:10.169880,True,64,0.017815485453327003,0.005945377742934512,0.15592416979854845,1,0.3835187465553176,8.057253717488082e-05,,COMPLETE
29,54.292284828978,2026-03-14 17:33:36.168049,2026-03-14 17:35:48.241805,0 days 00:02:12.073756,True,64,0.001160841954130275,0.0024788008881847646,0.25034508491954616,1,0.32997727812018146,0.0002953388296309848,,COMPLETE
